film_id,title,category,rating,length,rental_duration,rental_rate,replacement_cost,stars
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Penelope Guiness"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Christian Gable"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Lucille Tracy"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Sandra Peck"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Johnny Cage"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Mena Temple"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Warren Nolte"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Oprah Kilmer"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Rock Dukakis"
1,"Academy Dinosaur",Documentary,PG,86,6,0.99,20.99,"Mary Keitel"
2,"Ace Goldfinger",Horror,G,48,3,4.99,12.99,"Bob Fawcett"
2,"Ace Goldfinger",Horror,G,48,3,4.99,12.99,"Minnie Zellweger"
2,"Ace Goldfinger",Horror,G,48,3,4.99,12.99,"Sean Guiness"
2,"Ace Goldfinger",Horror,G,48,3,4.99,12.99,"Chris Depp"
3,"Adaptation Holes",Documentary,NC-17,50,7,2.99,18.99,"Nick Wahlberg"
3,"Adaptation Holes",Documentary,NC-17,50,7,2.99,18.99,"Bob Fawcett"
3,"Adaptation Holes",Documentary,NC-17,50,7,2.99,18.99,"Cameron Streep"
3,"Adaptation Holes",Documentary,NC-17,50,7,2.99,18.99,"Ray Johansson"
3,"Adaptation Holes",Documentary,NC-17,50,7,2.99,18.99,"Julianne Dench"
4,"Affair Prejudice",Horror,G,117,5,2.99,26.99,"Jodie Degeneres"
4,"Affair Prejudice",Horror,G,117,5,2.99,26.99,"Scarlett Damon"
4,"Affair Prejudice",Horror,G,117,5,2.99,26.99,"Kenneth Pesci"
4,"Affair Prejudice",Horror,G,117,5,2.99,26.99,"Fay Winslet"
4,"Affair Prejudice",Horror,G,117,5,2.99,26.99,"Oprah Kilmer"
5,"African Egg",Family,G,130,6,2.99,22.99,"Gary Phoenix"
5,"African Egg",Family,G,130,6,2.99,22.99,"Dustin Tautou"
5,"African Egg",Family,G,130,6,2.99,22.99,"Matthew Leigh"
5,"African Egg",Family,G,130,6,2.99,22.99,"Matthew Carrey"
5,"African Egg",Family,G,130,6,2.99,22.99,"Thora Temple"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Kirsten Paltrow"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Sandra Kilmer"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Jayne Neeson"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Warren Nolte"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Morgan Williams"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Kenneth Hoffman"
6,"Agent Truman",Foreign,PG,169,3,2.99,17.99,"Reese West"
7,"Airplane Sierra",Comedy,PG-13,62,6,4.99,28.99,"Jim Mostel"
7,"Airplane Sierra",Comedy,PG-13,62,6,4.99,28.99,"Richard Penn"
7,"Airplane Sierra",Comedy,PG-13,62,6,4.99,28.99,"Oprah Kilmer"
7,"Airplane Sierra",Comedy,PG-13,62,6,4.99,28.99,"Mena Hopper"
7,"Airplane Sierra",Comedy,PG-13,62,6,4.99,28.99,"Michael Bolger"
8,"Airport Pollock",Horror,R,54,6,4.99,15.99,"Fay Kilmer"
8,"Airport Pollock",Horror,R,54,6,4.99,15.99,"Gene Willis"
8,"Airport Pollock",Horror,R,54,6,4.99,15.99,"Susan Davis"
8,"Airport Pollock",Horror,R,54,6,4.99,15.99,"Lucille Dee"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Christian Gable"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Elvis Marx"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Rip Crawford"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Mena Temple"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Rip Winslet"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Warren Nolte"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Greta Keitel"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"William Hackman"
9,"Alabama Devil",Horror,PG-13,114,3,2.99,21.99,"Meryl Allen"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Alec Wayne"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Judy Dean"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Val Bolger"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Ray Johansson"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Renee Tracy"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Jada Ryder"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Greta Malden"
10,"Aladdin Calendar",Sports,NC-17,63,6,4.99,24.99,"Rock Dukakis"
11,"Alamo Videotape",Foreign,G,126,6,0.99,16.99,"Johnny Cage"
11,"Alamo Videotape",Foreign,G,126,6,0.99,16.99,"Scarlett Damon"
11,"Alamo Videotape",Foreign,G,126,6,0.99,16.99,"Sean Guiness"
11,"Alamo Videotape",Foreign,G,126,6,0.99,16.99,"Michael Bening"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Val Bolger"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Burt Posey"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Sidney Crowe"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Sylvester Dern"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Albert Johansson"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Gene Mckellen"
12,"Alaska Phantom",Music,PG,136,6,0.99,22.99,"Jeff Silverstone"
13,"Ali Forever",Horror,PG,150,4,4.99,21.99,"Cary Mcconaughey"
13,"Ali Forever",Horror,PG,150,4,4.99,21.99,"Christopher Berry"
13,"Ali Forever",Horror,PG,150,4,4.99,21.99,"Kenneth Torn"
13,"Ali Forever",Horror,PG,150,4,4.99,21.99,"Morgan Mcdormand"
13,"Ali Forever",Horror,PG,150,4,4.99,21.99,"Jon Chase"
14,"Alice Fantasia",Classics,NC-17,94,6,0.99,23.99,"Woody Hoffman"
14,"Alice Fantasia",Classics,NC-17,94,6,0.99,23.99,"Minnie Zellweger"
14,"Alice Fantasia",Classics,NC-17,94,6,0.99,23.99,"Morgan Williams"
14,"Alice Fantasia",Classics,NC-17,94,6,0.99,23.99,"Rock Dukakis"
15,"Alien Center",Foreign,NC-17,46,5,2.99,10.99,"Burt Dukakis"
15,"Alien Center",Foreign,NC-17,46,5,2.99,10.99,"Kenneth Paltrow"
15,"Alien Center",Foreign,NC-17,46,5,2.99,10.99,"Sidney Crowe"
15,"Alien Center",Foreign,NC-17,46,5,2.99,10.99,"Renee Tracy"
15,"Alien Center",Foreign,NC-17,46,5,2.99,10.99,"Humphrey Willis"
15,"Alien Center",Foreign,NC-17,46,5,2.99,10.99,"Mena Hopper"
16,"Alley Evolution",Foreign,NC-17,180,6,2.99,23.99,"Karl Berry"
16,"Alley Evolution",Foreign,NC-17,180,6,2.99,23.99,"Jude Cruise"
16,"Alley Evolution",Foreign,NC-17,180,6,2.99,23.99,"Albert Johansson"
16,"Alley Evolution",Foreign,NC-17,180,6,2.99,23.99,"Gregory Gooding"
16,"Alley Evolution",Foreign,NC-17,180,6,2.99,23.99,"John Suvari"
17,"Alone Trip",Music,R,82,3,0.99,14.99,"Ed Chase"
17,"Alone Trip",Music,R,82,3,0.99,14.99,"Karl Berry"
17,"Alone Trip",Music,R,82,3,0.99,14.99,"Uma Wood"
